Name,Code,Type,Desc
FID_ZZC,1255,C,总资产
FID_WQSZJ,1256,C,未清算资金
FID_JGDM,1257,C,机构代码
FID_DFSXFL,1258,C,兑付手续费率
FID_DFLXSL,1259,C,兑付利息税率
FID_JXFS,1260,C,计息方式
FID_CSSM,1261,C,参数说明
FID_SZSM,1262,C,参数设置说明
FID_XGGY,1263,C,修改柜员
FID_LOGINNAME,1264,C,登录用户名称
FID_MRDLSF,1265,I,默认登录身份
FID_MGZC,1266,R,每股资产
FID_SNMGSY,1267,R,上年每股收益
FID_XZJB,1268,I,限制级别
FID_EN_MCQZ,1269,C,名称前缀范围
FID_BDZQDM,1270,C,本地证券代码
FID_LYJBL,1271,R,履约金比例
FID_RQWGHZJ,1272,R,融券未购回资金(权益)
FID_RZWGHZJ,1273,R,融资未购回资金(负债)
FID_BWJSZJ,1274,R,买入未交收资金
FID_SWJSZJ,1275,R,卖出未交收资金
FID_YSYXYED,1276,R,已使用信用额度
FID_DJWTK,1277,C,登记委托库
FID_DJHBK,1278,C,登记回报库
FID_CDSB,1279,C,撤单申报库
FID_CDQR,1280,C,撤单确认库
FID_WTQRNO,1281,I,委托确认笔数
FID_CDQRNO,1282,I,撤单确认笔数
FID_TYPE_BF,1283,I,备份通道类型
FID_MODULE_BF,1284,C,备份申报模块
FID_HOST_BF,1285,C,备份申报主机地址
FID_WTSB_BF,1286,C,备份委托申报库
FID_WTQR_BF,1287,C,备份委托确认库
FID_CDSB_BF,1288,C,备份撤单申报库
FID_CDQR_BF,1289,C,备份撤单确认库
FID_WTQRNO_BF,1290,I,备份通道委托申报确认笔数
FID_CDQRNO_BF,1291,I,备份通道撤单确认笔数
FID_TDBH,1292,I,通道编号
FID_EN_TDBH,1293,C,通道编号范围
FID_LTXW,1294,C,联通席位
FID_YYBXZMS,1295,I,营业部限制模式
FID_ZQLBXZMS,1296,I,证券类别限制模式
FID_SBBS,1297,I,申报笔数
FID_SBBS_S,1298,I,单次轮询最大申报笔数
FID_JGSJ,1299,I,间隔时间
FID_YXHSBL1,1300,C,营业部有效户数比例
FID_YXHSBL2,1301,C,总部有效户数比例
FID_ENDKHH,1302,C,结束客户号
FID_FILESIZE,1303,C,文件大小
FID_FILETRANSIZE,1304,C,文件传送时的大小
FID_YJXX,1305,C,最低佣金
FID_YJSX,1306,C,最高佣金
FID_YHSL,1307,C,印花税率
FID_GHFL,1308,C,过户费率
FID_GHFXX,1309,C,最低过户费
FID_GHFSX,1310,C,最高过户费
FID_FJF,1311,C,附加费
FID_JSFL,1312,R,结算费率
FID_JSFXX,1313,C,最低结算费
FID_JSFSX,1314,C,最高结算费
FID_JYGFL,1315,C,交易规费率
FID_JYGFXX,1316,C,交易规费下限
FID_JYGFSX,1317,C,交易规费上限
FID_QTFL,1318,C,其它费率
FID_QTFXX,1319,C,最低其他费用
FID_QTFSX,1320,C,最高其他费用
FID_FID,1321,I,FIX包中的FID编号
FID_EN_XWH,1322,C,席位号范围
FID_FWDM,1323,C,客户服务代码
FID_FWMC,1324,C,客户服务名称
FID_FWLX,1325,C,客户服务类型
FID_SLZ,1326,C,客户服务受理主体
FID_CLFS,1327,C,客户服务处理方式
FID_FILE,1328,C,文件名
FID_FILE2,1329,C,文件名二
FID_PROCNAME,1330,C,过程名
FID_CSXH,1331,C,参数序号
FID_TYPE,1332,C,参数类型
FID_QSZ,1333,C,缺省值
FID_CJHB,1334,C,成交回报库
FID_CS1,1335,C,参数1
FID_CS2,1336,C,参数2
FID_CS3,1337,C,参数3
FID_CS4,1338,C,参数4
FID_CS5,1339,C,参数5
FID_CS6,1340,C,参数6
FID_CS7,1341,C,参数7
FID_CS8,1342,C,参数8
FID_CS9,1343,C,参数9
FID_CS10,1344,C,参数10
FID_CS11,1345,C,参数11
FID_CS12,1346,C,参数12
FID_CS13,1347,C,参数13
FID_CS14,1348,C,参数14
FID_CS15,1349,C,参数15
FID_OPTERATOR,1350,C,核心开户操作类型
FID_OPTION,1351,C,核心开户参数1
FID_PACKINDEX,1352,C,数据包序列号
FID_GYDM,1353,C,柜员代码
FID_JYJS,1354,C,交易基数
FID_QTSX,1355,C,其他属性
FID_TDJY,1356,C,替代交易
FID_MRJG5,1357,C,买入价格5
FID_MRSL5,1358,C,买入数量5
FID_MCJG5,1359,C,卖出价格5
FID_MCSL5,1360,C,卖出数量5
FID_ZQSZ_RMB,1361,C,人民币证券市值
FID_ZQSZ_USD,1362,C,美元证券市值
FID_ZQSZ_HKD,1363,C,港币证券市值
FID_ZQSZ_ZSRMB,1364,C,总证券市值折算人民币
FID_ZJYE_RMB,1365,C,人民币资金余额
FID_ZJYE_USD,1366,C,美元资金余额
FID_ZJYE_HKD,1367,C,港币资金余额
FID_ZJYE_ZSRMB,1368,C,总资金余额折算人民币
FID_QTZC_RMB,1369,C,人民币其他资产
FID_QTZC_USD,1370,C,美元其他资产
FID_QTZC_HKD,1371,C,港币其他资产
FID_QTZC_ZSRMB,1372,C,总其他资产折算人民币
FID_LASTRECNO,1373,I,最近回报记录号
FID_HTHQZFW,1374,C,合同号前缀范围
FID_TZZHDM,1375,C,投资组合代码
FID_TZZHMC,1376,C,投资组合代码
FID_TZZHQZ,1377,C,投资组合代码
FID_TZZHLB,1378,C,投资组合代码
FID_HTHQJ,1379,C,合同号区间
FID_FWLB,1380,C,服务类别
FID_XMZX,1381,C,项目子项
FID_DZLB,1382,C,主动推送允许地址类别
FID_QSDZLB,1383,C,主动推送缺省地址类别
FID_SJFY,1384,C,手机短信方式的服务收费标准
FID_YJFY,1385,C,EMAIL方式的服务收费标准
FID_ZF,1386,C,涨幅
FID_DF,1387,C,跌幅
FID_FSCS,1388,C,发送次数
FID_HQNR,1389,C,行情点播内容
FID_ZDSJ,1390,C,行情点播允许发送指定时间点
FID_SJQJ,1391,C,行情点播允许发送时间区间
FID_XWZBH,1392,I,席位组编号
FID_XJDM,1393,C,现金代码(ETF)
FID_RGDM,1394,C,认购代码(ETF)
FID_RGQRDM,1395,C,认购确认代码
FID_XWZMC,1396,C,席位组名称
FID_RIGH,1397,C,坐席用户权限
FID_MGSY,1398,C,每股收益
FID_SHDM,1399,C,上海市场股票代码(配售)
FID_SZDM,1400,C,深圳市场股票代码(配售)
FID_GSHY,1401,C,上市公司行业
FID_GSMC,1402,C,上市公司名称
FID_FXZL,1403,C,发行总量
FID_FILEWRITETIME,1404,C,文件修改时间
FID_DHXL,1405,C,单户申购限量
FID_BLFM,1406,C,比例分母
FID_BLFZ,1407,C,比例分子
FID_ZQL,1408,C,中签率
FID_SSGJ,1409,C,上市估价
FID_FXRQ,1410,C,发行日期
FID_ZQYHRQ,1411,C,中签摇号日期
FID_CQRQ,1412,C,除权日期
FID_JKQSRQ,1413,C,缴款起始日期
FID_JKJSRQ,1414,C,缴款结束日期
FID_TSXX,1415,C,特别提示信息
FID_ZGB,1416,C,上市公司总股本
FID_MGGJJ,1417,R,每股资本公积金
FID_MGWFPLR,1418,R,每股未分配利润
FID_CLMC,1419,C,佣金定价策略名称
FID_EN_FLLB,1420,C,费率类别范围
FID_GHFZKL,1421,R,过户费折扣率
FID_LJJS,1422,I,累计计数
FID_LJZQ,1423,I,累计周期
FID_ZCJSFS,1424,I,资产计算方式
FID_ZSYJL,1425,I,折算佣金率
FID_JYLFDBH,1426,I,交易量分段编号
FID_ZCFDBH,1427,I,资产分段编号
FID_JYLXX,1428,R,交易量下限
FID_JYLSX,1429,R,交易量上限
FID_GHJE,1430,R,归还金额
FID_FZYWDM,1431,C,复制业务代码
